sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
13365,3123,51514,60985,11034,12032,59144,18690,46110,51459,11521,39968
12853,2611,50746,60985,11802,12288,57096,19202,45854,51715,19457,50208
54580,44338,24890,35385,62745,9472,53000,17666,51486,45571,27137,48928
11317,1075,48698,58937,10522,10240,62984,24322,48414,53251,19969,44832
33077,22579,6971,16698,22810,10496,57608,15874,46366,45315,24065,47136
14645,4147,53050,63033,12570,9984,265,19714,47390,46339,16129,43040
1845,56114,38458,48697,5146,9472,59400,11522,50206,57859,20481,38432
47668,36914,16954,27705,59161,9472,54280,13314,51742,50435,24577,46368
7477,62514,44346,55097,9242,10240,64008,15618,51486,53251,14081,41760
34100,23858,1082,12345,51737,10496,61960,20482,44574,60931,21761,53792
13365,2611,50746,60985,12570,10240,61448,17410,51998,53763,24321,54304
39988,28978,7994,19001,55577,9728,4873,13826,48158,51203,22529,45344
43828,33842,12090,22841,59417,10240,265,21250,42526,49155,24577,49184
16437,5939,52794,63545,15386,11008,4105,19202,49694,53507,19201,48416
16437,5427,53306,64313,16154,10496,1033,22018,48414,51715,22529,46880
32565,22323,5435,16186,24090,11776,9737,10242,59166,60675,17921,55840
3381,58418,39226,50489,8474,9728,60424,14082,50718,59395,15873,54816
48436,37938,15930,27449,60953,9984,5641,10754,53790,54275,18689,59424
10805,51,46650,57657,11034,10240,9481,10754,42270,55043,24577,47392
27701,16435,59,10810,21274,10752,15113,18434,40222,52227,28161,55328
12853,1331,48442,59193,12314,9984,10505,27138,43294,56067,16129,43552
41780,30514,8506,19769,55833,11008,9737,12034,45342,56323,25601,48160
62260,51762,31290,42297,3098,10496,8713,13570,53022,59651,23041,53280
46388,35634,13114,24633,59417,10752,16905,11778,47134,58115,21761,50208
2357,55858,37178,48185,4634,9984,17417,23554,53278,56067,24321,46624
4149,57906,39738,51001,6426,9472,27401,23042,42270,59907,27393,51744
54324,43314,22330,33081,61977,9984,25609,17922,45598,50179,26881,51488
53300,41778,21306,32569,60953,9728,23817,20226,36638,61443,19713,50976
56628,45874,24890,36153,63769,10240,23561,14594,35614,46851,17921,53536
64052,52530,33082,44089,1562,9728,28169,19458,38174,61699,19969,44576
45620,33842,12858,24121,56857,9728,21257,13826,37662,56067,22529,51232
4149,57906,38970,49977,5402,10496,21001,13314,33310,57603,22017,50976
49972,37170,16698,27961,59161,9472,29961,9986,37662,50947,16897,42016
8757,62002,43834,54841,7706,10240,26121,13314,48670,57347,14849,47136
62772,49458,31290,42297,2330,13056,29705,15106,33054,63491,21249,51744
42292,28978,8762,20281,55065,10496,37385,21250,33054,56323,21505,41504
13877,65330,49466,60473,11290,9472,40713,24578,37918,49667,24833,48672
21813,9011,57914,3130,16410,10496,35081,13826,36638,57859,23041,51488
44340,30514,11066,22585,56345,8960,44809,15874,41502,55299,25089,42784
29749,17203,1339,12090,21530,11008,46601,19458,33566,55043,22529,39968
32309,18995,4155,14906,22298,10240,42249,27906,36382,63491,22273,49952
12597,65074,48442,59193,11546,9728,40713,18178,35102,53763,16385,48928
58164,45362,26170,37433,64793,9472,51721,12034,29214,49923,22017,47392
17717,4915,54330,64825,15386,9984,48137,16898,22558,50179,30465,44320
32565,20531,5179,15930,23322,11776,53513,17666,28446,45059,25857,45088
64308,51506,33082,44345,3866,9984,47881,20482,28190,49667,17921,43296
309,53298,35386,46393,3866,9984,47881,12802,27678,51971,22785,42528
15669,2611,51514,62521,13338,11520,55817,17410,32798,47619,21505,42528
15925,2867,52026,62777,14106,11520,54281,12546,29470,48643,28417,44832
35124,23602,1850,13369,51993,9984,54025,19202,20510,58371,23809,53792
13109,1075,49210,59705,11802,10496,55561,16898,26654,54019,25345,59680
37684,25138,3898,15417,53273,9984,54537,15362,24094,53251,27137,42784
60980,49202,30010,41017,26,10496,59657,15874,24350,56323,26113,48928
53,52274,35130,45881,2074,9472,62729,17666,23582,52483,28929,45344
16693,3635,53306,64313,11802,10496,778,22786,25118,50179,24065,53792
47924,35890,15162,26937,57881,9984,61961,19202,23838,62467,29441,47136
6965,60210,42810,53561,7450,10240,6922,18946,28958,56835,26625,50976
55860,43570,24634,35641,62489,10240,1290,7682,26398,57347,27649,52512
11317,64818,47162,58169,8730,10752,9226,14338,32030,58115,32001,47904
37428,24882,4410,15673,52761,10240,13322,14594,25118,59395,28417,55072
48436,36146,16186,27705,60185,10240,8970,22274,33822,54275,23809,43808
7733,60210,43834,54585,8730,9984,17162,13826,33054,59139,23553,48416
9013,62002,44858,55609,8218,10496,8714,20738,34590,57091,32257,54304
41012,28466,7738,19257,55321,11264,8458,25090,32286,62211,33537,53280
39732,27442,6202,17721,56857,10496,12042,24322,37662,59651,25089,48928
44852,31282,12346,23353,58137,9472,8970,21250,25630,61699,24577,54304
48948,36402,16442,27961,58393,9728,3594,16386,25630,1028,29185,48928
11317,63282,47162,57401,12058,10496,9226,17410,36894,63235,25345,59680
36148,22834,2618,13881,51737,9728,6666,18690,32798,64003,21761,50464
15669,1587,51514,62265,12826,10496,9994,18946,32030,58115,26113,50976
53300,40498,21562,32569,60953,14336,7434,25602,31262,56067,23041,50720
48180,35122,15674,26937,59673,9984,9482,17154,33054,62723,23553,51488
12853,307,49210,59961,12570,11776,10,18434,29726,56835,26369,47392
7221,60978,43322,53817,9498,9984,266,20226,25886,58627,32513,50208
7221,60210,43066,53561,6938,9984,64521,23810,31262,61443,30465,56096
60980,49202,30778,41529,2586,12544,62473,12290,24862,59395,24321,48928
53812,42290,22842,33337,62489,13056,65033,20226,37918,52227,30209,51744
14389,2611,51258,61497,13338,9984,60681,17922,28702,60931,29953,49440
14901,3123,51514,62009,14362,10240,55305,18434,35358,56067,26625,60960
18229,6451,55354,314,15130,9984,10,27138,42270,51203,32513,47648
8245,62770,44346,54585,8986,14336,62217,16898,28958,57091,17921,54560
3893,58418,39226,49721,7706,10496,54793,24322,36126,62979,27393,50720
6965,60978,42298,53049,7962,12288,54793,15874,38430,52995,23809,54304
8757,62258,45114,55353,8986,9728,54281,15362,33822,56835,21761,48160
60468,48690,29498,39993,1306,13824,50441,22018,33822,51459,24065,58656
33332,22834,65337,11065,51737,10496,49673,24322,38430,57347,28161,52256
13365,1587,49978,60217,12826,10240,46089,20994,42782,61443,24321,46112
15157,2611,51258,61497,11802,10496,47113,15618,45086,59395,27393,48672
821,54066,35898,46649,3610,9984,45833,15106,37918,59139,13313,53024
6197,59442,41786,52281,8218,9984,36873,17154,38686,51971,25089,59168
9013,62770,44858,55609,10266,9984,41481,15618,38686,58371,26369,57376
15925,4403,52282,62521,15130,10752,47625,14338,42782,51715,27649,56096
14645,3379,51002,60985,14618,11008,43529,20482,39454,61443,30977,56096
15669,3891,52026,62265,14362,10752,40713,19714,41246,56835,22785,55072
3125,57138,37946,48441,7706,10496,34569,19458,40990,61955,24833,53536
5173,58930,40250,50489,10010,10496,40201,21250,49694,60675,21505,59424
12085,51,47674,57657,11546,12032,38409,22018,50974,57859,23041,57376
26677,13875,63546,7482,19994,10240,30473,16642,44318,61955,21505,45088
51508,39218,19002,29753,63257,9728,39945,16386,56094,63235,28673,54560
11829,65074,46906,57401,11546,10240,27657,20482,48926,61699,27649,56352
14133,1075,49210,59449,15642,10240,30729,14850,51486,54019,26369,55840
65076,52530,34106,44345,7706,9728,25353,18690,61470,56579,23297,58656
15925,3379,51002,61241,16666,11776,23561,16898,43038,65027,23553,54560
7221,60210,41530,52281,12826,10496,25609,22786,52510,57859,18177,52256
7733,60978,42554,52793,12314,9984,19721,23810,51998,61955,22785,51488
9013,61490,43834,54073,13338,9728,21513,8450,53534,59651,36097,52256
52020,38706,18746,29241,26,10240,19721,16642,51486,3332,31745,54048
28213,13875,64570,8762,23066,10752,20489,23042,58654,60675,27649,50720
62004,48946,29498,39993,5658,10240,18953,23554,54558,58115,17153,52256
17205,2611,52026,62009,17434,10496,16137,21250,58654,59395,21249,47648
1333,52786,34362,44601,7706,10496,11273,16130,49694,58883,24577,48416
17461,3123,52026,62265,16922,10752,14345,22786,57886,51971,21505,48672
4917,56370,38714,48697,9498,9984,12809,14082,56862,57347,11521,47136
7989,62002,41274,51769,12058,12032,10249,13570,55838,60931,20993,54816
4405,55346,37946,47673,8474,9728,21513,7682,57630,48387,16641,50208
16949,3379,52026,62009,16666,11520,15881,11010,56350,58883,22273,49952
2101,54066,35642,45881,10010,9984,18185,8450,50718,58371,16385,58144
34869,21043,5947,15418,28442,11520,11017,13314,53278,58115,17409,52000
65076,50226,32314,42553,6170,9728,11529,15106,51742,59139,11265,47648
60980,46386,27706,37945,3354,9472,10761,15362,45598,58115,18689,50976
60724,46642,27194,37177,5914,10496,7945,10754,56350,54531,11009,42528
56628,41778,22586,32825,4378,13824,7689,12034,53534,58627,17921,44320
44340,30258,9274,20025,61977,10496,15625,22786,53278,60163,16385,46880
19253,3891,53306,63545,21274,10240,11273,8194,51486,57347,13569,52768
63796,48434,30522,41017,8986,10240,5385,9730,55838,52227,6913,49184
21813,7219,56378,570,24346,10496,12553,20226,51998,57091,13057,49952
2101,52530,34106,44345,11802,10496,5897,10242,55326,55811,12289,50976
47156,32306,11834,22073,1050,10496,15369,11266,50974,61443,13825,52000
18485,2355,52282,62009,21530,11264,12553,17922,58142,59907,9985,42784
13109,62258,46906,56633,19738,11776,14601,12034,51742,58115,18945,49696
6965,57138,39482,49465,15898,15104,19465,770,51742,60931,7425,46368
11573,61746,44602,54585,17946,10496,18185,4866,49438,53251,20225,50720
13877,64050,46906,57145,20250,10496,13321,13314,55070,62979,14081,43552
8757,58162,41018,51001,16410,10752,18697,12546,50974,60419,17153,50976
6453,56370,38970,48953,14874,12800,24073,8962,57630,61699,8449,55072
57652,41778,23098,32825,6938,9984,16649,11010,63518,57347,5889,48416
11317,60722,44346,54329,16922,9728,25097,9474,58398,53763,18433,51232
55860,39218,20794,31033,5146,13568,27913,16386,59678,59395,22529,49184
55604,39730,20794,30777,4890,9984,25609,10242,55582,53763,14849,44832
10549,59698,42810,52537,15642,9984,35081,15618,51998,65283,11521,42272
54580,38450,19514,29753,2842,9728,30217,8194,45854,59907,1025,59168
13109,61746,45882,55609,16922,13568,32009,6914,53534,55299,13057,52512
57140,40242,21562,32057,4378,9984,36873,9986,50206,56835,9729,47136
43060,26418,6970,16953,62233,10240,35081,6146,44830,54275,6913,43040
62516,46898,28218,37945,9754,10496,39945,5122,43806,49923,8961,44064
17717,1075,50490,59961,21786,10240,33545,8450,48414,1540,5633,47648
63284,46130,28986,38969,8218,10240,40713,1282,35358,64515,11009,51488
63796,46898,29754,39481,9242,10240,40969,62209,48926,54787,7425,48160
29237,11827,63290,6458,25626,11264,43529,7170,38430,61443,7937,43808
35893,19507,5435,14138,29722,11008,46345,6146,44318,59139,1537,45856
61492,44850,26938,37433,6938,9728,45321,6658,39454,62723,1537,42272
44852,27954,8762,18489,63257,11264,45065,64769,39198,59651,6401,42528
60980,45106,25914,36153,6938,10496,45065,62209,34078,62979,4353,43296
1589,49458,32826,42553,9754,9728,47625,258,37406,58371,513,44320
53,47410,31034,41017,10266,9728,44041,63489,36382,54787,62720,38688
16693,64562,49722,59193,18714,9728,45065,1282,26142,52739,59904,44832
30517,12595,64058,7738,26138,11008,48393,59137,33054,56067,3329,41248
13365,61234,45114,55097,15642,10496,50441,60161,33054,51971,5889,39456
60980,42802,25402,35385,5658,14080,46345,57089,36126,60675,9473,46368
14389,62002,46394,56377,16922,10496,43017,63233,34846,53763,6913,44576
58420,39986,23098,33593,3866,9472,49929,1282,31774,64771,4353,49952
4917,52018,35898,45369,12058,14592,48393,63489,26910,60163,5121,48672
6965,54834,38202,48185,14618,10496,52233,2818,32030,61443,2305,45088
64308,46130,29242,38969,7706,13824,52489,7938,30750,55043,1,47392
56884,40242,21562,31289,3610,10496,40713,63745,24606,52483,2561,49440
19253,563,52026,61241,19226,13312,48393,62465,36638,52483,12033,51488
27445,8243,60474,4154,23322,9984,48393,63489,27166,56323,7937,46880
50740,33074,14138,23865,65049,10496,51465,63489,30494,57859,12289,45600
53044,35378,16186,26425,538,10240,55817,59137,26398,60163,11521,44064
51508,33074,15418,24889,794,9472,52489,60673,26142,62979,5377,43552
18997,1587,51258,60473,19994,11264,57609,62977,25630,54275,9473,48160
6197,54322,37946,47417,13082,9728,54025,5378,27422,772,5889,50464
53556,35634,17466,27193,538,10240,54537,1282,31774,61955,2817,53280
7989,55858,39738,49465,14106,9984,56329,514,25374,60163,5377,50208
15413,62514,47162,56377,16922,11520,58889,2818,25118,260,11777,50464
18741,51,51002,59961,19738,11264,53257,1794,27934,58371,6145,51744
3893,50482,34106,44089,9754,9984,54281,3586,29214,65283,6401,48928
49716,31794,12858,23097,64537,9472,65033,9218,23326,62723,15105,46624
25141,6963,57658,1594,23066,9984,55305,61185,29470,772,13313,49952
9781,57394,40762,50233,14618,12288,62729,63233,25630,62467,15873,49696
4917,52018,35898,45625,11034,9728,52745,5890,21278,3076,13569,46368
2357,48946,33082,43065,10010,9728,64009,6914,23326,6660,13057,45600
48692,30770,12090,21817,64537,10496,61193,4610,19998,3076,11009,44832
49460,31538,12602,22585,64537,9984,59401,7682,28190,1540,14849,52768
1077,48434,31290,41273,7962,10496,59401,4354,20510,5124,20225,50720
53812,35122,17466,27193,794,10240,63241,8194,24094,5892,17409,46112
58420,39474,22074,32057,3610,13824,61449,5634,23838,9220,19457,48928
55092,36402,18490,28473,1306,10496,2314,8194,13086,7172,20993,48160
11829,58674,43066,52281,15130,10240,3594,11778,20766,2052,14593,45600
53556,34610,17210,26937,26,10496,3082,10498,17438,12036,18689,48416
5429,52274,35642,45625,12314,10240,4874,16642,13342,11012,14081,42016
17205,62514,48954,58425,17946,11264,13066,16130,25374,5636,15617,46624
9525,55858,40250,49977,12826,10496,65033,11010,15390,13828,13057,46880
51508,31794,14394,24633,63257,9984,7434,8450,15390,8196,11009,45856
10293,56114,41018,50489,14618,10496,9994,6146,30238,6148,16385,49952
56628,37170,19770,29753,3098,10496,4874,9218,13086,9988,18945,49184
10293,55858,41018,50489,14874,12800,7434,6914,19486,3844,20481,44832
35892,16690,62265,7225,57625,10496,3850,14850,24094,11780,17153,40224
33333,13107,571,9530,27674,10496,3850,13826,16414,8708,18433,45600
13621,58674,44090,54073,16410,9984,8970,8706,21790,7940,19457,50464
26677,5939,58938,2106,23578,13312,1802,6402,12318,65027,13825,54816
51508,32050,14650,24377,538,9728,1802,9730,18462,9988,15873,51488
16437,60978,47930,57401,17434,11008,2826,3074,26142,8708,13057,53536
13877,59186,44602,53817,17178,12288,60425,12290,25630,11780,15873,48416
30261,10291,62522,5946,26138,11264,61705,7682,22558,13572,16385,52768
15669,60466,46906,56121,17946,9984,64009,16386,22046,63235,16897,57632
62004,42290,25402,35129,7450,10496,63753,7170,21534,12804,24833,47904
42804,23090,3898,13881,62233,10496,778,13058,19230,2052,19969,56352
