sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
61738,17972,36406,44855,25369,9472,45068,51968,1053,16901,13826,36640
62762,19764,37430,45879,26649,9984,41996,55808,5149,15365,12802,23328
28715,57140,10295,19256,46361,12032,51724,50176,1309,15365,19970,32032
4907,27700,46646,55351,29209,9216,61708,60928,12829,22533,16898,18208
21291,47412,823,9528,40729,10240,54540,46848,18717,25093,12802,23072
57642,12340,30774,38455,21017,9728,64780,257,10269,19973,20482,26400
13099,37684,56374,64823,37913,9728,4621,63232,11037,29701,23554,28448
60970,16180,33334,41015,23833,10240,8461,55040,15133,25093,23042,40992
28459,56884,10295,18744,46361,9984,7693,58368,15645,28165,16642,37664
63530,20276,38198,45879,28953,10496,35341,56576,4125,33285,10498,36384
17707,44852,64054,6456,42265,9472,31757,50944,8221,39173,20738,35360
37675,3893,23607,32056,55321,9728,41485,51712,6941,43781,20738,36384
39979,6197,25655,34104,57369,9728,49677,46336,7453,46597,14850,35872
61738,17972,35894,43063,27929,11776,61965,49920,7453,56581,20226,42272
43563,10805,29495,38200,59161,10752,4622,51712,8477,54277,19458,30240
15915,42292,60726,2616,38681,10496,7438,37376,10013,62981,17410,27424
17451,44596,62518,4664,40217,10240,10254,40960,6429,57605,23298,29472
19243,46388,64822,7224,40729,9984,15374,46592,11037,59397,24834,34848
27435,56372,9527,17464,46617,11520,10510,44288,5917,61445,26626,32800
21291,49460,2615,9784,42521,10240,9998,53248,9501,54533,27650,37920
21803,48692,1847,9784,40729,9728,11022,38400,13085,50693,20738,33312
7211,31540,49718,57143,31769,9984,3598,49408,12061,45317,22530,35872
40491,6453,24631,33336,56601,10496,59149,39168,5149,44549,20482,37408
24363,53044,5175,13624,44313,10496,64781,43520,64284,45317,20994,36896
10539,36148,53302,61495,32281,10240,53517,46336,29,38405,15362,30240
27947,57396,11319,19256,45081,9984,47885,51968,57372,40709,20994,28704
17451,44340,63030,5432,38937,9472,40973,41984,797,35333,21762,31776
1579,25652,45110,53047,27417,8704,37133,49920,57116,24581,15874,40736
9003,38708,51510,59191,34329,13568,37389,44288,56604,34309,16642,36128
1835,30004,47670,55351,31769,9984,41741,40704,58908,37637,13314,26400
555,33588,51510,59447,32025,9728,34061,41984,59676,36101,18178,33056
18475,56884,9783,17976,44313,9984,45069,43264,52764,47109,21762,26144
20267,61748,14135,23096,45849,9728,45837,45056,59676,44805,22018,22560
14891,58676,11063,19768,43545,10496,47373,50688,52252,37381,11778,34080
64298,42036,59446,1848,34329,13056,51981,48896,62492,49157,18178,30752
1067,49716,1335,9528,37657,10240,54541,49408,58652,54021,11010,18464
54314,37428,53814,62263,30745,9984,526,47872,52764,61957,15106,18976
32298,15156,31798,39223,15897,9984,3854,54784,61724,54277,21506,25888
52522,41268,59190,1336,32025,9728,18702,46080,56348,6,11522,24096
64810,58676,10551,19256,43545,11008,25870,48896,61212,1286,21762,20768
40234,30516,46646,54583,27929,10240,32526,43520,63004,64773,18178,21024
57898,54580,5943,14904,42009,9728,49166,43776,63004,12294,20226,25376
58922,58164,10039,18488,45081,9984,47374,49408,60188,14342,23298,22560
25898,19252,34614,42807,23833,10240,50446,48640,4637,18438,15618,27424
27178,22324,37942,46647,25881,9728,60430,51968,5661,21766,17410,21792
53546,55860,6455,15672,43033,12544,62478,29696,9245,27654,20226,33312
20010,17204,31798,40503,21529,10496,5391,38400,4381,33286,12290,23840
35370,39220,54838,63543,32793,10240,20239,38912,8477,28678,9986,26656
53802,63540,14647,23864,45849,9984,11279,33280,2077,36102,8194,30240
12074,22068,37430,46391,23321,9728,12047,35328,6173,33286,9986,22304
30762,45364,61494,5432,37401,13824,10511,34560,6429,38662,11778,24352
16170,28212,42294,51255,26393,10752,19471,33792,3613,30982,15874,35616
33066,49460,64822,8760,38937,9984,15375,32256,61724,35334,6146,29472
34602,51764,1591,11064,39193,9728,5903,40704,4893,30214,12034,32544
17962,30772,46134,55607,27161,9728,8719,29952,62492,20998,12290,33568
36138,53812,2871,12856,40985,10496,55566,33024,58140,30726,8194,36128
43818,58164,7479,17464,41753,10496,53006,27136,62236,22022,10242,31264
