sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
6698,38961,63795,311,14876,9728,24072,34325,8983,48389,40193,55072
57385,23345,47923,48950,3356,9984,27400,30485,1815,41477,40449,30752
14378,50225,14644,14135,19228,10496,38920,53013,12567,63749,5889,55840
3114,34609,63283,62518,8476,10240,32264,51221,14871,41221,22785,55072
19498,55857,19508,20279,22044,10752,30216,38165,6935,35589,52993,49440
6442,45105,8756,10551,17692,9728,21256,46869,19991,53253,63745,32288
48937,14897,39219,42550,64795,10240,26376,50453,25623,50437,60417,46112
4394,41265,820,4151,15132,10752,3336,59925,32023,58373,45825,63520
4138,45873,9012,10551,19228,9984,10504,54549,33815,56581,64001,2849
5418,49457,12596,13623,22300,11520,11016,54037,29207,47365,58113,55072
7978,54065,17716,18231,21020,11008,30984,54293,29463,40453,62721,40736
57385,30769,58931,58166,7964,10240,33032,55573,11543,56837,53249,43296
59689,33073,59443,62006,11548,9728,39432,54037,14359,45573,56833,54048
13354,52529,11572,15671,24860,11008,45320,45333,279,52997,49921,59424
63529,21041,47923,50742,4892,9472,53768,38421,6679,62469,46593,59680
25642,48945,11316,14647,21532,9472,58632,39701,8727,57605,36097,61472
42,29489,51251,55094,4892,10496,58376,45845,4119,59653,38401,56608
15658,46385,4660,11575,14620,12800,51720,50965,10007,51717,50177,45856
20010,50737,6452,17719,17692,10496,40968,54549,11031,52229,48385,47648
63529,19761,45363,50742,65307,10752,42504,50709,12823,52997,48897,45088
25386,46385,6452,14391,19740,10496,34056,49173,19991,50949,38657,50720
13098,29745,55859,63286,13340,9984,32776,45845,23319,50693,49153,47392
31530,52785,9780,20791,26908,10496,29448,43285,19735,44293,38145,46880
19754,41265,63795,5943,16156,10496,27144,47637,17687,46341,54273,38688
19754,39985,63795,7223,16156,14592,35592,44309,22807,38405,47617,54048
23594,45361,6452,13879,19228,10752,29960,36117,22039,47877,49153,39200
14890,28209,55603,63798,5916,9984,34056,35861,13335,43013,52737,37152
32810,53809,14900,23095,19740,11008,33544,40213,10519,44037,43009,29216
44330,65329,26676,36151,26652,11776,27912,33045,14359,43525,36097,37920
20778,34865,61235,2871,3100,9472,34568,38677,17431,35589,49921,37408
554,9265,35379,41270,49435,10240,25608,35861,12823,29957,50945,32032
23594,31281,57651,65078,63003,9984,25608,33045,3351,38149,43009,34848
39466,50993,12596,21047,7964,10240,33800,28949,62486,29189,54785,37920
30250,35633,61747,6711,61979,9728,24072,24341,3863,26373,52225,41248
50986,64817,26420,37687,15132,12288,64007,32277,2839,26373,41729,38176
14634,22833,48691,58166,50459,10240,58887,23829,1815,22789,44289,37664
18474,27441,50483,62518,54811,10496,5384,13333,64790,20485,38145,36128
10794,11825,31795,49462,49691,11520,65031,33557,23,21509,25601,38432
9002,10801,31027,48182,53531,9728,7176,13333,63766,11013,34561,48928
27434,34609,57907,9015,2332,10240,61191,58132,62486,14853,39425,34592
33834,41009,2612,19767,6172,10240,47879,3349,2071,13573,22017,43552
37930,44337,6964,24375,10012,10240,48903,4885,62742,53508,51969,45088
12842,12849,43315,56374,54555,9984,35335,48404,60950,11781,31745,47392
17706,15921,44083,60470,58907,10496,35591,15637,51990,63748,38657,36640
34090,35889,62003,17463,7964,9984,57095,44052,32790,4869,11777,39712
5418,64304,24371,42550,47387,9984,43783,54804,24342,25093,20993,51232
45610,43057,2868,25143,13084,9984,2568,55572,22038,32772,15361,289
32810,30513,54323,10807,65307,9728,39687,7701,28694,53252,13569,60448
17450,9265,35891,56374,61467,9984,43271,61460,29206,4613,2817,40736
43562,37681,63027,21047,9756,9984,49415,25876,56854,62468,22529,32032
49194,36145,64051,22839,8988,9984,34311,6933,62486,61444,38145,27168
57130,42033,8756,29751,15644,10240,13063,5141,45078,9221,11265,10528
46634,29233,57907,14647,8476,9728,30471,789,38166,49668,19969,27424
47146,31537,61491,19255,11292,9216,38919,36884,35862,55044,32001,23584
36138,19761,49971,7479,284,10240,39175,34580,40214,62724,34817,40736
37674,23089,52531,11575,4124,10752,28167,12820,28950,56324,26113,32800
38442,30001,61491,18999,8988,9472,43271,47380,27670,45572,10753,38944
21546,14129,45619,823,62747,9728,45063,4373,14614,44292,12545,29984
53290,53041,16948,42295,23580,10240,1288,17684,61461,51716,38401,47136
14122,2609,29747,52534,53019,10496,55303,49940,43541,59140,23809,36640
41002,30001,57907,16439,7196,9984,51975,62228,8726,50180,17665,38688
25898,7473,37427,59446,57883,10496,20743,50964,29974,36356,51457,46112
52010,36913,65331,25143,11804,12032,56326,28948,63765,51716,47105,48160
41258,17457,43827,4407,796,10240,50439,31253,19734,21508,24321,34592
64042,38449,4404,28727,18716,9984,13320,61461,36375,64771,14081,61983
24874,63280,27443,48694,59931,9728,34568,45589,23319,33284,33793,52255
28458,1841,32307,54326,65051,9984,14344,30229,30486,56324,36097,58911
4651,47409,14388,37943,28956,10496,520,23317,27414,45317,63232,37664
10539,53041,17972,42807,28956,10240,32263,56084,31766,10502,51456,3105
52010,24113,57907,13879,14364,13056,32263,35861,14870,11781,770,11040
17195,57137,26420,49207,33820,10496,15111,65044,18966,29701,20737,16160
7211,40497,9780,32311,26652,10496,26631,16917,11542,33797,27648,56864
60458,25649,60211,17207,14108,9472,40711,1813,25878,16901,53248,50208
45866,9265,41523,65078,2588,9472,53511,44051,22806,10245,31233,51232
59178,24369,56371,14391,14876,14080,60935,63252,15126,8709,57344,37920
6955,40241,2868,30775,26652,11008,776,50453,29974,9221,17153,36128
44074,5681,33587,60214,5660,10496,17672,39958,45078,20741,64512,42016
555,33841,62003,23863,24092,9984,59143,51222,17943,11269,29953,37920
51242,17713,48179,6711,14876,9728,36103,11030,24086,6661,11522,61983
5675,35889,52,25655,26652,11008,29959,35605,55061,30469,62209,43296
1579,31025,57395,20023,21276,10496,34311,13333,55573,51973,34561,53280
42538,65072,28211,53814,2076,12544,60423,30485,8214,37638,43520,26401
9771,36913,63795,27191,23580,11520,22792,51477,14358,64004,52481,36128
11051,38449,1588,32567,29468,10240,24072,6166,29718,26374,1537,28448
20267,47921,10548,42295,34844,12544,30984,23574,25878,60420,5378,20768
7723,31537,58675,22327,24092,9984,19464,22038,13846,33798,48384,42785
43,18993,51763,12087,14620,13312,62215,28694,32022,29444,56066,19487
48938,62512,31795,55350,284,9984,56583,7958,44822,58629,46081,37920
54570,64304,33331,57398,1820,10240,55815,7958,36118,59397,8961,289
11563,23857,59443,18999,18204,9984,5384,31766,35862,28933,44033,44576
62250,9777,42291,1591,2844,9728,18440,26134,39958,44037,39937,41248
57130,8497,43059,1335,284,9216,13320,27414,37142,16901,12802,22304
24363,45617,9780,38967,20508,10496,8968,12822,38166,32261,258,25888
10795,27441,54835,19767,11292,10752,3592,22550,36630,34821,52993,41760
17963,33841,62515,26935,12316,9728,48647,20758,29462,10245,18946,19744
7723,18737,45875,10807,5660,10752,44039,36374,18966,51461,58624,9504
16171,22577,52531,17719,8220,12288,45063,29206,32022,22022,11265,59169
23595,29745,58675,25143,9244,9728,47879,28694,28182,37381,6146,37154
10539,13873,41267,9015,284,9472,54279,46870,38934,62724,3075,43552
33067,45105,4660,39479,17948,12800,48647,48406,30486,58117,25090,59167
299,5425,28723,62006,58139,10240,47879,56086,23062,51461,7425,63264
4907,7473,33331,65334,56859,10496,60679,791,26390,3334,16385,33825
31275,33585,60467,27959,9756,9728,520,59158,20502,44293,25602,27681
3115,64048,26419,56886,52507,9728,9480,37142,22038,1029,39426,22816
42795,46641,6708,40759,13596,9728,60167,28694,35606,7174,62977,61215
16171,14641,39731,7735,61211,13312,2056,63510,32278,44805,17409,43552
30763,33585,61491,28727,8732,9472,55815,59414,30230,33541,39937,6177
17451,16689,45875,11575,284,9728,52743,8983,27414,1030,6914,65056
64042,62768,28211,58934,52763,9728,8,57110,36118,27397,21250,42272
