sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
7221,1329,48694,825,48410,10496,21768,12546,55070,11011,12801,54816
8501,817,49718,2105,46618,9728,26632,12290,57630,11267,16385,53536
31797,24113,7735,26681,61210,10496,27912,12546,50974,14083,23553,52768
4149,63280,44598,62520,43546,12800,37896,16386,59166,10499,13825,53792
37173,30769,13623,32569,61978,10496,36872,7426,59422,13571,13569,52256
16693,10801,57910,10553,50202,10240,32776,14850,61726,15619,5633,60448
21045,15409,62518,15161,56602,10496,37640,18946,54558,13827,6401,56352
1589,62256,42806,60728,45082,10240,44552,19458,58142,11267,10753,51744
30773,23857,6711,25657,63258,10240,38920,18178,49438,10499,17409,56352
31797,24625,8247,26937,65050,10496,33544,14850,51486,17155,14593,59680
11829,4401,52790,5689,51994,9984,38152,12546,50462,19971,16129,56864
16949,7985,57910,11065,56602,13312,43528,11778,54814,12803,6913,56096
30517,22577,6455,25401,64282,9984,45064,12802,50206,23043,13057,54816
10805,1585,52022,4665,50714,9216,44040,24322,53534,16643,12545,44576
31541,24625,7991,26937,283,10752,50952,20226,46878,19971,15361,56352
1845,59184,43062,60728,46106,12544,46600,31234,53790,16643,11265,56352
12597,3889,54582,6969,53018,9472,48904,24066,53022,18435,16897,2337
15157,6705,56630,9785,56090,9728,44808,15618,53278,15619,18433,58912
37173,28977,13879,32825,2843,11264,39944,22530,45086,11011,19969,55328
22581,13361,63798,17209,60186,9984,45064,20482,52510,12803,22529,54304
309,58672,41526,58936,47642,9984,44808,20738,59166,11267,8705,58144
63796,55600,39222,56888,45850,9472,50440,22786,44830,12291,18177,1057
21557,11569,63030,16441,60698,9728,42504,23042,44574,9987,18433,57120
821,58416,42550,59704,49690,10240,50696,27650,49694,19203,6145,801
21557,11313,63798,16697,60442,12032,40712,30722,47390,19459,10497,59424
33333,23601,9783,28985,2587,12288,38920,25602,53534,20227,21761,64544
28981,18481,5431,24633,63770,9728,43272,22786,49950,15107,19201,53280
10549,817,51766,4665,56090,9728,45320,26626,48158,20995,9473,55072
62772,54320,38198,55864,46618,11008,44296,28674,58398,22531,13825,57376
16437,7729,58166,10809,56346,10752,37640,23298,50206,23555,20481,55072
17717,7217,59446,12345,57370,9728,49672,23298,51230,6147,22785,56096
63028,54320,38198,56120,47130,9984,53256,25346,51230,15363,20481,56352
20021,9777,61750,14649,63770,10240,44296,26626,57118,26371,7169,58144
23605,12593,55,18489,65306,9984,42504,30466,57886,20483,18177,54560
27701,16177,3895,22841,1051,10240,47880,30978,55582,10499,28673,48160
9269,63536,50742,3129,54810,9984,45576,30466,60190,21763,32769,54048
30261,19249,6199,25401,1307,10240,46088,35586,7967,23555,25345,55840
6197,60464,46902,64824,49946,13056,40968,35330,60702,20483,23041,51488
15669,4913,56886,10297,57882,10496,41224,35330,64286,14339,25857,41760
20277,8753,61750,15161,60442,9728,43272,38658,1823,12035,22785,37920
2357,57136,42806,61240,52762,9728,38664,35586,3103,20995,17409,45344
5941,60464,46646,65336,53530,10240,44296,31746,6943,17411,26113,46624
25397,13873,1591,21049,64794,13056,38664,39682,2079,20227,26113,54304
11573,561,52278,5689,57626,10240,36360,34050,2079,15619,21761,52768
34869,20273,10551,30265,5659,9728,36360,39170,10783,25347,25345,48928
60468,48176,35126,53304,47898,10240,43272,34306,12319,14339,27137,58400
20789,7729,62006,14905,62490,10752,36872,35586,7711,25603,34561,43808
65076,53040,39990,58168,51482,9984,33544,33538,64798,16643,33793,54560
54581,39985,31031,51513,18203,10240,28936,34818,6175,20739,25601,52000
28725,17713,4151,23609,4635,11776,39176,35586,9247,20483,33025,50208
22837,10801,64566,17721,62746,9472,34824,34562,9503,18435,33025,49696
25653,12593,1335,20793,65050,9472,28424,29186,7455,14595,27137,55072
31029,23601,6711,25145,10011,16384,25864,32514,13343,12547,28673,41504
14901,1073,55350,8249,62490,13824,27912,28162,8479,6403,29953,53792
32053,18225,7991,27193,7451,10496,29448,27650,10527,12291,29441,51744
2613,56624,43318,61240,56346,12800,17928,26882,12831,17155,28673,49952
48181,33841,24631,44089,19995,11264,17160,27394,7455,12291,35073,52256
54325,39473,31287,50745,22555,10752,15112,32002,19743,13827,26881,47136
60724,47408,35382,52792,54042,9728,17416,23298,12063,4867,29185,56608
37685,23601,13879,32313,12571,10752,13576,26370,7455,8195,29441,58144
36661,23601,12599,31289,12315,13568,14600,28418,14367,5123,33793,54048
22069,8753,63030,15161,4123,10240,13320,28162,15391,13059,29697,62752
26165,11825,1335,19257,4379,12288,12808,20738,14879,6147,29185,58912
25141,11825,567,17977,4379,10752,11784,30978,9503,11011,30721,60960
5173,57392,45366,62520,59930,9984,6152,24578,65310,7171,26881,801
28213,15921,3639,21561,9243,10752,5384,22530,9759,7683,29185,61472
35637,22065,11063,29241,12571,11264,1800,20482,16159,6659,31745,61216
27189,13873,1847,20537,6427,10240,60935,27138,16415,4099,36353,65312
26677,15153,2103,20793,7707,10752,5384,26626,1567,4867,23041,59936
47669,34097,23607,42809,20763,10496,2824,10754,10015,771,25857,59424
11573,64304,51766,3897,63770,13312,63239,19202,5919,1027,19713,60704
60468,49456,34614,51768,53274,10240,3848,16386,14111,6147,22017,62496
41781,28209,17463,36409,14619,10240,5896,24066,63774,3331,23041,62752
42805,27697,18231,37177,15387,12032,3080,14850,5919,5123,26625,62240
36149,21553,10807,30521,11803,10496,4104,14850,1567,62466,20225,61472
3637,57392,43318,60984,57114,9728,2824,16642,6431,4867,22273,58144
3125,58416,42806,60216,57882,10752,6664,17666,58910,3075,18689,545
46133,33073,20279,39737,18203,13056,3592,9730,799,59906,24321,63008
