sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
7942,56880,2101,36871,55810,10752,10240,11008
3334,22064,33332,37895,56066,10752,10496,10752
3334,22064,33332,37895,56066,10752,10496,10752
2054,27952,38196,38919,55810,10752,10752,10752
2054,27952,38196,38919,55810,10752,10752,10752
1542,33840,44852,38151,55810,10496,10240,10752
1542,33840,44852,38151,55810,10496,10240,10752
3334,40496,51764,39175,56066,10752,10240,10496
3334,40496,51764,39175,56066,10752,10240,10496
62213,5936,16180,36871,56066,10496,10240,10752
62213,5936,16180,36871,56066,10496,10240,10752
64773,13360,23348,36871,55810,10752,10240,11008
64773,13360,23348,36871,55810,10752,10240,11008
2566,5680,14900,36103,56322,10752,10496,10752
2566,5680,14900,36103,56322,10752,10496,10752
3590,14640,24628,36615,55810,10752,10752,10752
3590,14640,24628,36615,55810,10752,10752,10752
8454,49456,61236,36615,55554,10496,10496,10752
8454,49456,61236,36615,55554,10496,10496,10752
2822,14896,24884,36359,56066,10752,10752,10752
2822,14896,24884,36359,56066,10752,10752,10752
1542,21040,31796,36359,55810,10752,10496,10752
1542,21040,31796,36359,55810,10752,10496,10752
11014,57904,4149,37127,56322,10752,10496,10752
11014,57904,4149,37127,56322,10752,10496,10752
11014,51504,62772,36103,56066,10496,10240,10752
11014,51504,62772,36103,56066,10496,10240,10752
8966,53040,309,37127,55810,10752,10496,10752
8966,53040,309,37127,55810,10752,10496,10752
5126,39472,50996,38919,55810,11008,10496,11008
5126,39472,50996,38919,55810,11008,10496,11008
8966,47152,58676,39175,56322,10752,9984,10752
8966,47152,58676,39175,56322,10752,9984,10752
1030,12848,23860,37895,54786,11008,10496,10752
1030,12848,23860,37895,54786,11008,10496,10752
11014,55600,2869,38919,56066,10752,10240,10752
11014,55600,2869,38919,56066,10752,10240,10752
5382,24624,36148,37383,55810,10752,10240,10496
5382,24624,36148,37383,55810,10752,10240,10496
6406,30512,42804,38919,55554,10752,10240,10496
6406,30512,42804,38919,55554,10752,10240,10496
14342,56880,4149,39431,56066,10752,10496,10496
14342,56880,4149,39431,56066,10752,10496,10496
3846,20272,32308,39431,55810,10496,10240,10496
3846,20272,32308,39431,55810,10496,10240,10496
7942,29488,39988,40455,56066,10752,10240,10752
7942,29488,39988,40455,56066,10752,10240,10752
65285,12080,22324,39687,55298,10496,10496,10752
65285,12080,22324,39687,55298,10496,10496,10752
9990,57136,4149,38407,56322,10496,10496,10496
9990,57136,4149,38407,56322,10496,10496,10496
