sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
17174,52503,19506,34823,54274,10752,10496,10752
52501,21015,33073,33287,54018,10496,10496,10752
52501,21015,33073,33287,54018,10496,10496,10752
57109,26647,40753,35591,54018,10752,10240,10752
57109,26647,40753,35591,54018,10752,10240,10752
62229,30743,47921,34311,53762,10752,10496,10752
62229,30743,47921,34311,53762,10752,10496,10752
13590,48151,12082,37383,54786,10752,10496,10752
13590,48151,12082,37383,54786,10752,10496,10752
56853,23575,39729,33031,53762,11008,10240,10496
56853,23575,39729,33031,53762,11008,10240,10496
61717,28183,47153,33543,53762,10752,10496,10752
61717,28183,47153,33543,53762,10752,10496,10752
22,29463,54321,34311,53250,10752,10240,10496
22,29463,54321,34311,53250,10752,10240,10496
14102,43287,15154,35591,53506,10752,10496,10752
14102,43287,15154,35591,53506,10752,10496,10752
60949,28183,47409,35079,54274,10752,10496,11008
60949,28183,47409,35079,54274,10752,10496,11008
1302,34583,54321,33543,53762,10496,10496,10752
1302,34583,54321,33543,53762,10496,10496,10752
62997,31511,46897,34311,54018,10752,10240,10752
62997,31511,46897,34311,54018,10752,10240,10752
65045,34327,52273,34055,54018,10496,10496,11008
65045,34327,52273,34055,54018,10496,10496,11008
52757,19479,32561,34311,54018,10752,10240,10240
52757,19479,32561,34311,54018,10752,10240,10240
4118,36119,60977,35335,54274,10752,10496,10496
4118,36119,60977,35335,54274,10752,10496,10496
60437,27415,43825,34567,54530,10752,10496,10496
60437,27415,43825,34567,54530,10752,10496,10496
7702,40983,65329,34567,54786,10752,10240,10240
7702,40983,65329,34567,54786,10752,10240,10240
10774,48151,6194,35591,54786,10496,10240,11008
10774,48151,6194,35591,54786,10496,10240,11008
5910,41495,59697,36103,54274,10752,10240,10752
5910,41495,59697,36103,54274,10752,10240,10752
54549,25623,31537,35079,54274,10752,10240,11008
54549,25623,31537,35079,54274,10752,10240,11008
4374,38935,57137,35079,54786,10496,10240,10752
4374,38935,57137,35079,54786,10496,10240,10752
6934,43287,64049,32519,53762,10752,10496,10496
6934,43287,64049,32519,53762,10752,10496,10496
53269,21783,28977,33799,53506,10752,10496,10752
53269,21783,28977,33799,53506,10752,10496,10752
2838,32791,55857,33799,53506,10496,10240,10496
2838,32791,55857,33799,53506,10496,10240,10496
7190,34327,63281,33031,53506,10752,10496,10752
7190,34327,63281,33031,53506,10752,10496,10752
11798,41495,3634,34055,53762,10752,10496,10752
11798,41495,3634,34055,53762,10752,10496,10752
58645,18967,36145,34567,53250,10496,10496,10752
58645,18967,36145,34567,53250,10496,10496,10752
64021,20759,43569,32775,53762,10752,10496,10752
64021,20759,43569,32775,53762,10752,10496,10752
60181,24087,36657,33799,54274,10752,10496,10752
60181,24087,36657,33799,54274,10752,10496,10752
62997,22295,42801,34823,54018,10496,10240,10496
62997,22295,42801,34823,54018,10496,10240,10496
65045,25367,48433,35591,54786,10752,10496,10752
65045,25367,48433,35591,54786,10752,10496,10752
3862,30487,55857,36359,54786,10496,10496,10496
3862,30487,55857,36359,54786,10496,10496,10496
11542,40471,63537,37639,54274,10752,10496,10752
11542,40471,63537,37639,54274,10752,10496,10752
63765,26135,41265,37127,54786,10752,10496,10752
63765,26135,41265,37127,54786,10752,10496,10752
59669,21783,34353,36359,54018,10240,10496,11008
59669,21783,34353,36359,54018,10240,10496,11008
64533,27927,41521,35591,54274,10496,10496,10752
64533,27927,41521,35591,54274,10496,10496,10752
12310,42775,50,34311,54018,10752,10752,11008
12310,42775,50,34311,54018,10752,10752,11008
15382,45335,5938,34567,54530,10752,10496,11008
15382,45335,5938,34567,54530,10752,10496,11008
62997,25879,40497,33799,54274,10496,10496,10752
62997,25879,40497,33799,54274,10496,10496,10752
534,30231,47153,33799,54274,10752,10496,10752
534,30231,47153,33799,54274,10752,10496,10752
10006,41751,64817,35335,54786,10752,10240,10752
10006,41751,64817,35335,54786,10752,10240,10752
