sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
13078,38933,18482,32263,55810,10752,10496,10496
13078,38933,18482,32263,55810,10752,10496,10496
58133,22037,45105,32519,55554,10496,10496,11008
58133,22037,45105,32519,55554,10496,10496,11008
62741,29205,53041,32263,55298,10752,10240,10752
62741,29205,53041,32263,55298,10752,10240,10752
11542,39957,13362,33287,55554,10752,10240,10496
11542,39957,13362,33287,55554,10752,10240,10496
59925,24085,45361,33031,55042,10752,10496,10752
59925,24085,45361,33031,55042,10752,10496,10752
64789,27925,53297,31495,55298,10496,10496,10496
64789,27925,53297,31495,55298,10496,10496,10496
2070,28693,59185,32263,53506,10496,10496,10496
2070,28693,59185,32263,53506,10496,10496,10496
6934,36885,1074,32007,53506,11008,10496,10496
6934,36885,1074,32007,53506,11008,10496,10496
10518,41493,5170,32519,53250,10752,10240,11008
10518,41493,5170,32519,53250,10752,10240,11008
60949,23829,40241,33031,53250,10752,10496,10240
60949,23829,40241,33031,53250,10752,10496,10240
20758,55573,16434,34823,53506,10752,10496,10752
20758,55573,16434,34823,53506,10752,10496,10752
58133,29205,33585,32263,53506,10496,10496,10752
58133,29205,33585,32263,53506,10496,10496,10752
15894,47637,12850,34567,52738,10752,10752,10752
15894,47637,12850,34567,52738,10752,10752,10752
65045,33301,49457,33543,53250,10496,10240,10752
65045,33301,49457,33543,53250,10496,10240,10752
8726,40469,56881,32007,54530,10752,10496,10752
8726,40469,56881,32007,54530,10752,10496,10752
59157,26901,28721,33031,52994,10496,10496,10752
59157,26901,28721,33031,52994,10496,10496,10752
1302,38677,49457,33799,53250,10496,10496,10752
1302,38677,49457,33799,53250,10496,10496,10752
5910,47381,63025,33543,53250,10496,10496,10752
5910,47381,63025,33543,53250,10496,10496,10752
5398,44821,63793,32775,53506,10752,10240,10752
5398,44821,63793,32775,53506,10752,10240,10752
54037,28181,33073,33799,53250,10496,10496,10496
54037,28181,33073,33799,53250,10496,10496,10496
56085,31509,36401,32519,54274,10496,10496,10496
56085,31509,36401,32519,54274,10496,10496,10496
61205,39701,44081,32775,55554,10752,10240,10752
61205,39701,44081,32775,55554,10752,10240,10752
53013,30997,31537,32263,55298,10496,10496,10752
53013,30997,31537,32263,55298,10496,10496,10752
15894,62229,20786,32263,54274,10752,10240,10496
15894,62229,20786,32263,54274,10752,10240,10496
53013,40469,36657,32519,55042,10752,10496,10752
53013,40469,36657,32519,55042,10752,10496,10752
7702,60437,11058,33031,54018,10752,10496,10752
7702,60437,11058,33031,54018,10752,10496,10752
7190,57109,5426,34055,53250,10496,10496,10752
7190,57109,5426,34055,53250,10496,10496,10752
61461,47381,46129,32519,53250,10496,10240,10752
61461,47381,46129,32519,53250,10496,10240,10752
2582,53525,53041,33031,54530,10496,10240,10752
2582,53525,53041,33031,54530,10496,10240,10752
12566,61717,11826,32775,53250,10496,10240,10496
12566,61717,11826,32775,53250,10496,10240,10496
62485,45589,44593,32519,52994,10752,10240,10752
62485,45589,44593,32519,52994,10752,10240,10752
790,50197,52017,33031,52994,10752,10240,10752
790,50197,52017,33031,52994,10752,10240,10752
