sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
22298,40500,61479,32775,52482,10752,10240,10752
37658,1077,14888,32007,52482,10752,10240,10752
37658,1077,14888,32007,52482,10752,10240,10752
40474,5685,18984,32263,51970,10496,10496,10496
40474,5685,18984,32263,51970,10496,10496,10496
44570,9269,21288,31495,51970,10496,10240,10752
44570,9269,21288,31495,51970,10496,10240,10752
25882,42548,62503,30983,52482,10496,10496,10752
25882,42548,62503,30983,52482,10496,10496,10752
27162,47668,1064,32519,52226,10752,10240,10496
27162,47668,1064,32519,52226,10752,10240,10496
43034,10037,22056,31239,52482,10752,10496,10496
43034,10037,22056,31239,52482,10752,10496,10496
42522,5685,18472,31751,52482,10496,10496,10752
42522,5685,18472,31751,52482,10496,10496,10752
24346,43572,63527,30215,51970,10496,10496,10496
24346,43572,63527,30215,51970,10496,10496,10496
13338,26420,50215,31495,51970,10752,10240,10496
13338,26420,50215,31495,51970,10752,10240,10496
31002,55348,6952,30727,51970,10496,10240,10752
31002,55348,6952,30727,51970,10496,10240,10752
35098,63028,12840,33031,52482,11008,10496,10752
35098,63028,12840,33031,52482,11008,10496,10752
39194,2357,16424,32263,53250,10496,10496,10752
39194,2357,16424,32263,53250,10496,10496,10752
14106,29236,52263,33543,52226,10496,10240,10752
14106,29236,52263,33543,52226,10496,10240,10752
40730,7989,20008,34055,50946,10752,10496,11008
40730,7989,20008,34055,50946,10752,10496,11008
35098,61748,10792,33543,53250,10752,10240,10496
35098,61748,10792,33543,53250,10752,10240,10496
37146,2101,15400,33543,51714,10752,10496,10496
37146,2101,15400,33543,51714,10752,10496,10496
25370,49972,1576,33031,51714,10752,10496,10752
25370,49972,1576,33031,51714,10752,10496,10752
40218,7733,19240,32775,50434,10752,10496,10752
40218,7733,19240,32775,50434,10752,10496,10752
40474,8245,19752,33287,53506,10496,10496,10752
40474,8245,19752,33287,53506,10496,10496,10752
24090,44852,64039,33031,51202,10752,10496,10752
24090,44852,64039,33031,51202,10752,10496,10752
28954,52276,3880,34055,52994,10752,10240,10752
28954,52276,3880,34055,52994,10752,10240,10752
33050,58164,8488,32263,50946,10752,10496,10752
33050,58164,8488,32263,50946,10752,10496,10752
36378,64564,13352,33543,51202,10496,10496,10752
36378,64564,13352,33543,51202,10496,10496,10752
40218,4917,17448,33543,51458,10752,10240,10752
40218,4917,17448,33543,51458,10752,10240,10752
41498,8501,19496,33031,51202,10496,10496,10752
41498,8501,19496,33031,51202,10496,10496,10752
50970,22069,29992,32263,50434,10496,10752,10496
50970,22069,29992,32263,50434,10496,10752,10496
28698,50996,2344,33799,51202,10752,10240,10752
28698,50996,2344,33799,51202,10752,10240,10752
34074,57652,7464,34567,51202,10496,10240,10496
34074,57652,7464,34567,51202,10496,10240,10496
37658,64052,12328,32007,50434,10752,10496,10752
37658,64052,12328,32007,50434,10752,10496,10752
41242,4405,16424,33287,51458,10496,10752,10752
41242,4405,16424,33287,51458,10496,10752,10752
30490,52532,3880,31751,50178,10752,10240,10752
30490,52532,3880,31751,50178,10752,10240,10752
44314,10293,21544,32519,51458,10496,10496,11008
44314,10293,21544,32519,51458,10496,10496,11008
24602,41780,61223,34055,50690,10752,10496,10496
24602,41780,61223,34055,50690,10752,10496,10496
41754,3125,15656,31751,50690,10752,10496,10496
41754,3125,15656,31751,50690,10752,10496,10496
43546,7221,18472,32007,51202,10496,10752,10496
43546,7221,18472,32007,51202,10496,10752,10496
42266,8245,18984,31495,50434,10752,10496,11008
42266,8245,18984,31495,50434,10752,10496,11008
35354,63540,11304,31751,50946,10752,10240,10496
35354,63540,11304,31751,50946,10752,10240,10496
28442,51508,2856,31239,50434,10752,10752,10496
28442,51508,2856,31239,50434,10752,10752,10496
32538,58420,7464,30727,51202,10752,10240,11008
32538,58420,7464,30727,51202,10752,10240,11008
33818,63284,11560,31495,51970,10752,10496,10752
33818,63284,11560,31495,51970,10752,10496,10752
38938,3893,16680,31495,52482,10752,10496,10752
38938,3893,16680,31495,52482,10752,10496,10752
17690,32820,54823,32519,52226,10752,10496,10752
17690,32820,54823,32519,52226,10752,10496,10752
30746,58676,7976,31751,52226,10752,10240,10752
30746,58676,7976,31751,52226,10752,10240,10752
16922,31540,53287,31751,52738,10496,10240,10752
16922,31540,53287,31751,52738,10496,10240,10752
27418,49716,1320,33031,52482,10752,10496,11008
27418,49716,1320,33031,52482,10752,10496,11008
40474,2613,15400,33031,52226,10752,10496,10752
40474,2613,15400,33031,52226,10752,10496,10752
32794,57396,7208,32263,52482,10496,10240,10496
32794,57396,7208,32263,52482,10496,10240,10496
24090,43316,61479,33543,52482,10752,10496,10496
24090,43316,61479,33543,52482,10752,10496,10496
